60
3.2
135
785	840	989
805	887	986
820	830	986
825	823	967
810	880	967
783	906	967
818	896	964
803	953	964
882	865	963
766	961	956
854	902	953
860	906	952
805	908	951
817	910	945
823	914	944
771	954	937
879	869	934
870	930	933
843	939	933
882	886	928
842	967	923
815	976	923
921	879	922
894	888	922
848	971	922
821	980	922
766	982	921
899	920	911
872	929	911
826	973	903
942	825	901
854	974	901
827	983	901
933	886	900
919	945	900
870	951	898
882	953	892
746	984	890
697	990	888
921	900	887
860	994	881
805	996	880
811	1000	879
931	952	878
894	960	870
982	901	867
933	907	865
866	997	860
945	909	859
872	1001	859
817	1003	858
882	974	857
736	1004	847
943	975	837
894	981	835
955	915	829
797	1005	827
748	1011	825
945	930	824
880	985	790
