79
7.35
187
896	700	973
885	728	969
914	683	967
883	742	958
992	706	957
808	758	952
900	722	948
875	751	948
950	717	944
1023	735	942
898	736	937
892	745	937
946	745	935
1028	740	934
948	758	933
881	773	933
977	759	925
886	778	925
935	793	921
1044	708	919
1051	695	917
1044	734	911
984	741	909
946	762	908
1002	768	907
1046	711	903
1053	698	901
1010	759	900
835	826	899
1017	746	898
938	771	898
860	806	898
897	796	893
868	797	891
1056	716	890
964	789	889
1063	703	888
910	796	887
902	801	885
971	773	883
1074	671	878
851	820	876
821	832	875
977	771	873
912	799	871
1038	748	869
883	802	869
876	847	868
950	795	865
1012	755	863
888	807	861
1049	733	859
985	788	858
922	804	858
881	816	858
943	822	854
1086	679	849
989	779	844
1015	784	840
1061	741	830
899	823	829
954	791	827
894	824	817
947	809	813
956	794	811
966	799	798
883	833	783
975	798	782
769	851	775
950	808	769
1065	695	766
904	832	752
824	850	751
1104	611	739
1066	691	738
1068	688	730
983	789	717
766	854	715
779	859	710
